journal_name,url,error_type,error_message
Sukkur IBA Journal of Emerging Technologies,http://journal.iba-suk.edu.pk:8089/SIBAJournals/index.php/sjet,SSLError,Gagal melakukan koneksi: http://journal.iba-suk.edu.pk:8089/SIBAJournals/index.php/sjet
LingVaria,https://journals.akademicka.pl/lv,ReadTimeout,"HTTPSConnectionPool(host='journals.akademicka.pl', port=443): Read timed out. (read timeout=13)"
Politeja,https://journals.akademicka.pl/politeja,ReadTimeout,"HTTPSConnectionPool(host='journals.akademicka.pl', port=443): Read timed out. (read timeout=13)"
"Plural: History, Culture, Society",http://plural.upsc.md/,ReadTimeout,"HTTPConnectionPool(host='plural.upsc.md', port=80): Read timed out. (read timeout=13)"
Revista Encontros,http://www.cp2.g12.br/ojs/index.php/encontros.,ReadTimeout,"HTTPConnectionPool(host='www.cp2.g12.br', port=80): Read timed out. (read timeout=13)"
Biblos,https://impactum-journals.uc.pt/biblos,SSLError,"HTTPSConnectionPool(host='impactum-journals.uc.pt', port=443): Max retries exceeded with url: /biblos (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
Yearbook of Balkan and Baltic Studies,https://www.folklore.ee/balkan_baltic_yearbook/YBBS,ReadTimeout,"HTTPSConnectionPool(host='www.folklore.ee', port=443): Read timed out. (read timeout=13)"
Revista Brasileira de Pesquisa em Ciências da Saúde,http://revistas.icesp.br/index.php/RBPeCS,SSLError,"HTTPSConnectionPool(host='internetpositif.id', port=443): Max retries exceeded with url: /index.php/RBPeCS (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
Contratexto,https://revistas.ulima.edu.pe/index.php/contratexto,ConnectTimeout,"HTTPSConnectionPool(host='revistas.ulima.edu.pe', port=443): Max retries exceeded with url: /index.php/contratexto (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x775738dcf620>, 'Connection to revistas.ulima.edu.pe timed out. (connect timeout=13)'))"
Journal of Techno-Social,http://penerbit.uthm.edu.my/ojs/index.php/JTS,ReadTimeout,"HTTPConnectionPool(host='penerbit.uthm.edu.my', port=80): Read timed out. (read timeout=13)"
JINOP (Jurnal Inovasi Pembelajaran),http://ejournal.umm.ac.id/index.php/jinop,ConnectionError,"HTTPConnectionPool(host='ejournal.umm.ac.id', port=80): Max retries exceeded with url: /index.php/jinop (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x775738fb5a90>: Failed to resolve 'ejournal.umm.ac.id' ([Errno -3] Temporary failure in name resolution)""))"
Riset Akuntansi dan Keuangan Indonesia,http://journals.ums.ac.id/index.php/reaksi,SSLError,"HTTPSConnectionPool(host='journals.ums.ac.id', port=443): Max retries exceeded with url: /index.php/reaksi (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
Jurnal Keuangan dan Perbankan,http://jurnal.unmer.ac.id/index.php/jkdp,ConnectionError,"HTTPConnectionPool(host='jurnal.unmer.ac.id', port=80): Max retries exceeded with url: /index.php/jkdp (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x775738b86b70>: Failed to resolve 'jurnal.unmer.ac.id' ([Errno -5] No address associated with hostname)""))"
حسابداری سلامت,http://jha.sums.ac.ir/,SSLError,"HTTPSConnectionPool(host='jha.sums.ac.ir', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
International Series on Information Systems and Management in Creative eMedia,http://www.ambientmediaassociation.org/Journal,SSLError,"HTTPSConnectionPool(host='www.sweetbasilga.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
Jurnal Benefita,https://ejournal.lldikti10.id/index.php/benefita,ConnectTimeout,"HTTPSConnectionPool(host='ejournal.lldikti10.id', port=443): Max retries exceeded with url: /index.php/benefita (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7757384b4380>, 'Connection to ejournal.lldikti10.id timed out. (connect timeout=13)'))"
Jurnal Linguistik Komputasional,http://inacl.id/journal/index.php/jlk,SSLError,Gagal melakukan koneksi: http://inacl.id/journal/index.php/jlk
History of Science in South Asia,https://journals.library.ualberta.ca/hssa/index.php/hssa/index,ReadTimeout,"HTTPSConnectionPool(host='journals.library.ualberta.ca', port=443): Read timed out. (read timeout=13)"
Comunicologia,https://portalrevistas.ucb.br/index.php/RCEUCB,SSLError,"HTTPSConnectionPool(host='portalrevistas.ucb.br', port=443): Max retries exceeded with url: /index.php/RCEUCB (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
Revista Nacional de Administración,https://revistas.uned.ac.cr/index.php/rna,ConnectionError,"HTTPSConnectionPool(host='revistas.uned.ac.cr', port=443): Max retries exceeded with url: /index.php/rna (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x775739c4aae0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
Iatreia,https://revistas.udea.edu.co/index.php/iatreia/index,ConnectTimeout,"HTTPSConnectionPool(host='revistas.udea.edu.co', port=443): Max retries exceeded with url: /index.php/iatreia/index (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x77573807f980>, 'Connection to revistas.udea.edu.co timed out. (connect timeout=13)'))"
Novum,https://revistas.unal.edu.co/index.php/novum/index,ReadTimeout,"HTTPSConnectionPool(host='revistas.unal.edu.co', port=443): Read timed out. (read timeout=13)"
International Journal of the First Year in Higher Education,https://fyhejournal.com/index,SSLError,Gagal melakukan koneksi: https://fyhejournal.com/index
Revista Ciencias Marinas y Costeras,http://www.revistas.una.ac.cr/index.php/revmar/index,ConnectionError,"HTTPConnectionPool(host='www.revistas.una.ac.cr', port=80): Max retries exceeded with url: /index.php/revmar/index (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x775737dc9670>: Failed to resolve 'www.revistas.una.ac.cr' ([Errno -3] Temporary failure in name resolution)""))"
Uniciencia,http://www.revistas.una.ac.cr/index.php/uniciencia/index,ConnectionError,"HTTPConnectionPool(host='www.revistas.una.ac.cr', port=80): Max retries exceeded with url: /index.php/uniciencia/index (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7757373ff800>: Failed to resolve 'www.revistas.una.ac.cr' ([Errno -3] Temporary failure in name resolution)""))"
Maal og Minne,http://ojs.novus.no/index.php/MOM,ReadTimeout,"HTTPSConnectionPool(host='ojs.novus.no', port=443): Read timed out. (read timeout=13)"
El Oído Pensante,http://revistascientificas.filo.uba.ar/index.php/oidopensante,ReadTimeout,"HTTPConnectionPool(host='revistascientificas.filo.uba.ar', port=80): Read timed out. (read timeout=13)"
Nirmana,http://nirmana.petra.ac.id/,ReadTimeout,"HTTPSConnectionPool(host='nirmana.petra.ac.id', port=443): Read timed out. (read timeout=13)"
Estudios Demográficos y Urbanos,http://estudiosdemograficosyurbanos.colmex.mx/index.php/edu,SSLError,"HTTPSConnectionPool(host='estudiosdemograficosyurbanos.colmex.mx', port=443): Max retries exceeded with url: /index.php/edu (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
Ranah: Jurnal Kajian Bahasa,http://ojs.badanbahasa.kemdikbud.go.id/jurnal/index.php/jurnal_ranah,ReadTimeout,"HTTPConnectionPool(host='ojs.badanbahasa.kemdikbud.go.id', port=80): Read timed out. (read timeout=13)"
